id,direction,start_price,close_price,start_time,close_time,decision
8697,down,1.0436800000,1.0411800000,2016-12-19 14:45:22,2016-12-19 19:09:18,down
8698,down,1.0411800000,1.0386800000,2016-12-19 19:09:18,2016-12-20 06:01:52,up
8699,down,1.0386800000,1.0361800000,2016-12-20 06:01:52,2016-12-20 12:30:01,up
8700,up,1.0361800000,1.0386800000,2016-12-20 12:30:01,2016-12-20 15:21:42,up
8701,up,1.0386800000,1.0411800000,2016-12-20 15:21:42,2016-12-21 02:16:02,up
8702,up,1.0411800000,1.0436800000,2016-12-21 02:16:02,2016-12-21 13:57:14,up
8703,up,1.0436800000,1.0461800000,2016-12-21 13:57:14,2016-12-22 10:15:28,down
8704,down,1.0461800000,1.0436800000,2016-12-22 10:15:28,2016-12-22 13:23:06,up
8705,up,1.0436800000,1.0461800000,2016-12-22 13:23:06,2016-12-22 14:26:15,down
8706,up,1.0461800000,1.0486800000,2016-12-22 14:26:15,2016-12-22 15:07:19,down
8707,down,1.0486800000,1.0461800000,2016-12-22 15:07:19,2016-12-22 15:55:40,down
8708,down,1.0461800000,1.0436800000,2016-12-22 15:55:40,2016-12-22 18:55:11,up
8709,up,1.0436800000,1.0461800000,2016-12-22 18:55:11,2016-12-23 09:31:58,down
8710,down,1.0461800000,1.0436800000,2016-12-23 09:31:58,2016-12-23 13:50:57,down
8711,up,1.0436800000,1.0461800000,2016-12-23 13:50:57,2016-12-23 15:57:58,down
8712,down,1.0461800000,1.0436800000,2016-12-23 15:57:58,2016-12-27 01:35:28,down
8713,up,1.0436800000,1.0461800000,2016-12-27 01:35:28,2016-12-27 16:15:41,down
8714,down,1.0461800000,1.0436800000,2016-12-27 16:15:41,2016-12-28 09:22:05,down
8715,down,1.0436800000,1.0411800000,2016-12-28 09:22:05,2016-12-28 11:28:47,up
8716,down,1.0411800000,1.0386800000,2016-12-28 11:28:47,2016-12-28 13:39:05,up
8717,up,1.0386800000,1.0411800000,2016-12-28 13:39:05,2016-12-28 19:44:22,up
8718,up,1.0411800000,1.0436800000,2016-12-28 19:44:22,2016-12-29 01:39:20,up
8719,up,1.0436800000,1.0461800000,2016-12-29 01:39:20,2016-12-29 05:09:41,up
